#year	doy	ET	       T	ES	I	     EC
1998	210	1.797	1.273	0.524	0	0.524
1998	211	4.511	0.947	0.355	3.209	3.564
1998	212	3.438	0.898	0.177	2.363	2.54
1998	213	3.534	1.561	0.343	1.63	1.973
1998	214	1.719	1.437	0.282	0	0.282
1998	215	1.836	1.474	0.362	0	0.362
1998	216	1.809	1.434	0.376	0	0.376
1998	217	1.72	1.341	0.379	0	0.379
1998	218	1.641	1.283	0.358	0	0.358
1998	219	1.252	0.953	0.298	0	0.298
1998	220	1.743	1.085	0.429	0.23	0.659
1998	221	1.349	0.934	0.352	0.063	0.416
1998	222	3.72	0.692	0.107	2.921	3.028
1998	223	4.844	1.825	0.295	2.724	3.019
1998	224	2.401	2.016	0.385	0	0.385
1998	225	2.569	2.232	0.338	0	0.338
1998	226	2.456	2.13	0.326	0	0.326
1998	227	2.043	1.805	0.238	0	0.238
1998	228	1.575	1.365	0.206	0.004	0.21
1998	229	2.753	1.985	0.271	0.496	0.767
1998	230	2.592	2.163	0.429	0	0.429
1998	231	2.268	1.93	0.338	0	0.338
1998	232	1.959	1.7	0.26	0	0.26
1998	233	1.814	1.511	0.303	0	0.303
1998	234	1.917	1.496	0.421	0	0.421
1998	235	1.743	1.213	0.457	0.073	0.53
1998	236	2.091	1.392	0.554	0.145	0.699
1998	237	1.818	1.279	0.539	0	0.539
1998	238	1.58	1.207	0.373	0	0.373
1998	239	1.67	1.157	0.383	0.13	0.513
1998	240	1.867	1.305	0.496	0.065	0.561
1998	241	1.709	1.051	0.658	0	0.658
1998	242	3.074	1.341	0.429	1.303	1.733
1998	243	1.609	1.183	0.426	0	0.426
1998	244	1.631	1.251	0.38	0	0.38
1998	245	1.545	1.105	0.441	0	0.441
1998	246	0.749	0.52	0.185	0.045	0.229
1998	247	6.457	2.019	0.342	4.096	4.438
1998	248	8.001	2.268	0.371	5.361	5.732
1998	249	6.642	1.954	0.368	4.32	4.688
1998	250	4.431	2.239	0.555	1.637	2.192
1998	251	2.455	0.596	0.194	1.665	1.859
1998	252	3.569	2.073	0.213	1.284	1.497
1998	253	2.423	2.217	0.206	0	0.206
1998	254	2.423	2.183	0.24	0	0.24
1998	255	2.678	2.322	0.357	0	0.357
1998	256	2.654	2.305	0.349	0	0.349
1998	257	2.261	1.986	0.275	0	0.275
1998	258	1.965	1.761	0.204	0	0.204
1998	259	2.053	1.843	0.211	0	0.211
1998	260	1.956	1.716	0.24	0	0.24
1998	261	1.86	1.634	0.226	0	0.226
1998	262	1.65	1.345	0.305	0	0.305
1998	263	1.909	1.506	0.403	0	0.403
1998	264	1.52	0.984	0.536	0	0.536
1998	265	2.148	1.491	0.598	0.059	0.657
1998	266	2.051	1.655	0.396	0	0.396
1998	267	1.844	1.543	0.302	0	0.302
1998	268	1.896	1.509	0.386	0	0.386
1998	269	2.024	1.49	0.534	0	0.534
1998	270	1.966	1.443	0.523	0	0.523
1998	271	2.069	1.338	0.73	0	0.73
1998	272	1.553	0.949	0.603	0	0.603
1998	273	3.298	1.123	0.628	1.547	2.175
1998	274	1.805	1.315	0.49	0	0.49
1998	275	1.52	1.331	0.189	0	0.189
1998	276	1.462	1.182	0.28	0	0.28
1998	277	0.942	0.126	0.335	0.481	0.816
1998	278	0.609	0.218	0.221	0.17	0.391
1998	279	0.495	0.307	0.188	0	0.188
1998	280	1.186	0.979	0.207	0	0.207
1998	281	1.582	0.377	0.145	1.061	1.205
1998	282	2.46	1.11	0.118	1.233	1.351
1998	283	1.333	1.237	0.096	0	0.096
1998	284	1.203	1.109	0.094	0	0.094
1998	285	1.168	1.079	0.089	0	0.089
1998	286	1.153	1.054	0.099	0	0.099
1998	287	1.443	1.304	0.138	0	0.138
1998	288	1.314	1.212	0.102	0	0.102
1998	289	1.132	1.044	0.088	0	0.088
1998	290	1.03	0.94	0.09	0	0.09
1998	291	1.161	1.044	0.116	0	0.116
1998	292	1.149	0.973	0.176	0	0.176
1998	293	1.973	1.117	0.205	0.652	0.857
1998	294	1.05	0.95	0.1	0	0.1
1998	295	1.046	0.99	0.056	0	0.056
1998	296	0.905	0.851	0.053	0	0.053
1998	297	1.034	0.946	0.088	0	0.088
1998	298	1.208	1.074	0.134	0	0.134
1998	299	1.065	0.932	0.133	0	0.133
1998	300	0.883	0.76	0.123	0	0.123
1998	301	0.95	0.77	0.18	0	0.18
1998	302	1.084	0.887	0.197	0	0.197
1998	303	0.964	0.787	0.177	0	0.177
1998	304	0.978	0.791	0.186	0	0.186
1998	305	0.918	0.789	0.129	0	0.129
1998	306	0.65	0.532	0.117	0	0.117
1998	307	0.643	0.361	0.066	0.215	0.282
1998	308	0.664	0.068	0.015	0.581	0.596
1998	309	2.937	0.515	0.029	2.393	2.422
1998	310	2.114	0.552	0.021	1.541	1.562
1998	311	2.254	0.533	0.014	1.707	1.722
1998	312	0.969	0.397	0.017	0.555	0.572
1998	313	1.604	0.65	0.042	0.912	0.954
1998	314	1.096	0.544	0.073	0.479	0.552
1998	315	0.954	0.536	0.062	0.356	0.418
1998	316	1.606	0.941	0.072	0.593	0.665
1998	317	0.552	0.325	0.02	0.207	0.228
1998	318	0.504	0.068	0.006	0.43	0.437
1998	319	2.569	0.785	0.051	1.732	1.783
1998	320	1.223	0.587	0.034	0.602	0.636
1998	321	2.592	0.933	0.12	1.539	1.659
1998	322	1.034	0.706	0.05	0.278	0.328
1998	323	0.424	0.396	0.028	0	0.028
1998	324	0.58	0.518	0.062	0	0.062
1998	325	1.062	0.995	0.067	0	0.067
1998	326	0.781	0.758	0.023	0	0.023
1998	327	0.93	0.882	0.048	0	0.048
1998	328	1.064	0.935	0.112	0.017	0.13
1998	329	0.933	0.857	0.075	0	0.075
1998	330	2.018	1.098	0.116	0.803	0.919
1998	331	1.275	1.101	0.114	0.061	0.174
1998	332	1.101	0.995	0.106	0	0.106
1998	333	1.095	0.976	0.119	0	0.119
1998	334	0.907	0.823	0.084	0	0.084
1998	335	1.073	0.954	0.118	0	0.118
1998	336	0.964	0.869	0.095	0	0.095
1998	337	1.028	0.91	0.118	0	0.118
1998	338	0.973	0.838	0.135	0	0.135
1998	339	0.756	0.634	0.122	0	0.122
1998	340	0.888	0.707	0.18	0	0.18
1998	341	0.942	0.753	0.189	0	0.189
1998	342	0.697	0.528	0.168	0	0.168
1998	343	1.325	0.311	0.088	0.927	1.015
1998	344	1.323	0.377	0.025	0.922	0.946
1998	345	0.812	0.616	0.051	0.146	0.197
1998	346	0.285	0.253	0.032	0	0.033
1998	347	0.486	0.353	0.005	0.128	0.133
1998	348	2.098	0.368	0.026	1.704	1.73
1998	349	1.163	0.2	0.01	0.953	0.963
1998	350	2.594	0.835	0.04	1.719	1.759
1998	351	0.686	0.263	0.012	0.411	0.423
1998	352	1.958	0.363	0.01	1.585	1.595
1998	353	1.268	0.281	0.01	0.977	0.987
1998	354	1.348	0.206	0.012	1.13	1.142
1998	355	1.374	0.208	0.019	1.147	1.166
1998	356	1.409	0.51	0.062	0.837	0.899
1998	357	0.387	0.086	0.003	0.297	0.301
1998	358	0.368	0.258	0	0.11	0.111
1998	359	0.948	0.171	0.001	0.777	0.777
1998	360	0.69	0.102	0	0.587	0.588
1998	361	1.837	0.319	0.002	1.516	1.518
1998	362	1.477	0.205	0.009	1.264	1.273
1998	363	0.398	0.152	0.001	0.245	0.246
1998	364	1.805	0.314	0.006	1.484	1.491
1998	365	1.529	0.424	0.002	1.103	1.105
